id,item,category,price,quantity,total,customer_name,order_date,payment_method,status
34,Lemon Cake,Anniversary,30.96,5,154.8,Layla Hamdan,2025-09-25,Debit Card,Pending
35,Tiramisu Cake,Anniversary,23.28,2,46.56,Jad Sarkis,2025-06-03,Cash,Delivered
36,Fruit Cake,Wedding,32.91,5,164.55,Tarek Nassif,2025-02-07,Debit Card,Pending
37,Vanilla Cake,Wedding,56.66,1,56.66,Maya Chami,2025-07-09,Debit Card,Delivered
38,Red Velvet Cake,Anniversary,43.39,5,216.95,Sara Mansour,2025-02-23,Cash,Pending
39,Carrot Cake,Anniversary,23.62,5,118.1,Tarek Nassif,2025-06-25,Online Transfer,Cancelled
40,Vanilla Cake,Birthday,55.27,1,55.27,Ahmad Khalil,2025-08-05,Debit Card,Pending
41,Fruit Cake,Custom,41.86,3,125.58,Tarek Nassif,2025-08-15,Cash,Delivered
42,Lemon Cake,Regular,13.76,2,27.52,Tarek Nassif,2025-01-19,Credit Card,Processing
43,Lemon Cake,Wedding,16.37,3,49.11,Hassan Ali,2025-01-21,Credit Card,Delivered
44,Marble Cake,Wedding,27.68,5,138.4,Jad Sarkis,2025-07-28,Credit Card,Pending
45,Red Velvet Cake,Anniversary,58.81,2,117.62,Fadi Aoun,2025-01-13,Online Transfer,Pending
46,Tiramisu Cake,Wedding,23.34,1,23.34,Layla Hamdan,2025-01-20,Online Transfer,Cancelled
47,Carrot Cake,Custom,25.26,2,50.52,Nour Assaf,2025-01-13,Debit Card,Delivered
48,Black Forest Cake,Regular,58.34,3,175.02,Nour Assaf,2025-09-18,Cash,Delivered
49,Vanilla Cake,Birthday,53.85,3,161.55,Sara Mansour,2025-10-25,Online Transfer,Cancelled
50,Cheesecake,Custom,46.43,3,139.29,Jad Sarkis,2025-09-19,Credit Card,Cancelled
51,Fruit Cake,Wedding,12.22,4,48.88,Nour Assaf,2025-09-24,Online Transfer,Delivered
52,Cheesecake,Anniversary,57.44,3,172.32,Tarek Nassif,2025-06-10,Debit Card,Processing
53,Carrot Cake,Custom,26.31,3,78.93,Hassan Ali,2025-03-07,Online Transfer,Pending
54,Chocolate Cake,Anniversary,40.78,3,122.34,Omar Saleh,2025-10-08,Credit Card,Processing
55,Tiramisu Cake,Custom,49.29,5,246.45,Maya Chami,2025-06-14,Credit Card,Processing
56,Vanilla Cake,Regular,49.69,2,99.38,Hassan Ali,2025-02-13,Debit Card,Delivered
57,Carrot Cake,Wedding,50.92,2,101.84,Rami Fares,2025-06-08,Cash,Delivered
58,Tiramisu Cake,Custom,22.24,4,88.96,Jad Sarkis,2025-02-07,Credit Card,Processing
59,Cheesecake,Custom,34.72,2,69.44,Layla Hamdan,2025-01-03,Credit Card,Processing
60,Tiramisu Cake,Wedding,12.51,2,25.02,Fadi Aoun,2025-03-04,Online Transfer,Cancelled
61,Black Forest Cake,Regular,57.5,4,230.0,Maya Chami,2025-09-16,Credit Card,Processing
62,Fruit Cake,Custom,32.5,2,65.0,Hassan Ali,2025-05-22,Credit Card,Cancelled
63,Lemon Cake,Anniversary,31.99,3,95.97,Jad Sarkis,2025-05-20,Cash,Pending
64,Carrot Cake,Birthday,17.54,4,70.16,Karim Yousef,2025-03-20,Online Transfer,Cancelled
65,Black Forest Cake,Custom,37.13,4,148.52,Jad Sarkis,2025-04-16,Cash,Processing
66,Black Forest Cake,Regular,33.85,3,101.55,Dana Khoury,2025-07-19,Credit Card,Processing
67,Black Forest Cake,Anniversary,20.97,4,83.88,Hassan Ali,2025-01-15,Online Transfer,Pending
68,Chocolate Cake,Custom,52.03,2,104.06,Rania Deeb,2025-10-01,Cash,Delivered
69,Red Velvet Cake,Birthday,42.14,2,84.28,Omar Saleh,2025-08-25,Online Transfer,Cancelled
70,Vanilla Cake,Custom,20.58,3,61.74,Omar Saleh,2025-07-14,Cash,Processing
71,Carrot Cake,Birthday,10.97,5,54.85,Fadi Aoun,2025-06-29,Cash,Delivered
72,Marble Cake,Wedding,57.48,2,114.96,Layla Hamdan,2025-01-11,Credit Card,Processing
73,Vanilla Cake,Anniversary,43.47,5,217.35,Rami Fares,2025-08-27,Cash,Pending
74,Vanilla Cake,Regular,58.24,1,58.24,Hassan Ali,2025-01-14,Online Transfer,Processing
75,Cheesecake,Anniversary,57.07,2,114.14,Nadine Farhat,2025-05-05,Cash,Delivered
76,Cheesecake,Regular,27.36,4,109.44,Hassan Ali,2025-07-09,Debit Card,Delivered
77,Lemon Cake,Custom,52.48,4,209.92,Dana Khoury,2025-08-10,Credit Card,Processing
78,Marble Cake,Regular,18.81,5,94.05,Fadi Aoun,2025-05-19,Online Transfer,Processing
79,Carrot Cake,Birthday,31.78,5,158.9,Omar Saleh,2025-06-15,Online Transfer,Pending
80,Lemon Cake,Birthday,47.52,5,237.6,Maya Chami,2025-07-14,Debit Card,Pending
81,Lemon Cake,Anniversary,34.38,3,103.14,Jad Sarkis,2025-05-13,Debit Card,Delivered
82,Black Forest Cake,Custom,35.83,2,71.66,Tarek Nassif,2025-05-04,Credit Card,Processing
83,Cheesecake,Anniversary,42.3,4,169.2,Layla Hamdan,2025-01-09,Online Transfer,Pending
84,Fruit Cake,Regular,25.31,5,126.55,Nour Assaf,2025-08-31,Online Transfer,Cancelled
85,Vanilla Cake,Wedding,27.59,4,110.36,Sara Mansour,2025-06-06,Credit Card,Cancelled
86,Carrot Cake,Wedding,15.98,5,79.9,Dana Khoury,2025-04-05,Online Transfer,Cancelled
87,Cheesecake,Wedding,46.23,5,231.15,Omar Saleh,2025-05-25,Credit Card,Cancelled
88,Red Velvet Cake,Anniversary,18.97,1,18.97,Ahmad Khalil,2025-10-01,Cash,Cancelled
89,Cheesecake,Birthday,44.87,2,89.74,Rania Deeb,2025-09-09,Debit Card,Processing
90,Vanilla Cake,Custom,33.94,3,101.82,Sara Mansour,2025-01-27,Cash,Processing
91,Red Velvet Cake,Wedding,34.59,5,172.95,Fadi Aoun,2025-01-28,Debit Card,Delivered
92,Marble Cake,Regular,59.7,1,59.7,Fadi Aoun,2025-08-02,Credit Card,Processing
93,Vanilla Cake,Regular,32.53,4,130.12,Rania Deeb,2025-08-08,Cash,Delivered
94,Vanilla Cake,Birthday,57.38,2,114.76,Rami Fares,2025-04-19,Credit Card,Pending
95,Tiramisu Cake,Regular,37.6,2,75.2,Maya Chami,2025-07-29,Debit Card,Delivered
96,Cheesecake,Wedding,21.57,3,64.71,Jad Sarkis,2025-08-21,Debit Card,Pending
97,Vanilla Cake,Wedding,31.26,5,156.3,Sara Mansour,2025-03-18,Cash,Pending
98,Vanilla Cake,Custom,49.63,5,248.15,Sara Mansour,2025-10-19,Online Transfer,Cancelled
99,Tiramisu Cake,Custom,44.99,3,134.97,Sara Mansour,2025-10-04,Cash,Processing
100,Cheesecake,Wedding,46.73,5,233.65,Hassan Ali,2025-01-14,Cash,Cancelled
101,Tiramisu Cake,Anniversary,38.81,2,77.62,Rami Fares,2025-09-23,Online Transfer,Processing
102,Lemon Cake,Anniversary,58.45,4,233.8,Hassan Ali,2025-07-29,Cash,Pending
103,Fruit Cake,Birthday,26.49,4,105.96,Maya Chami,2025-07-25,Cash,Cancelled
104,Fruit Cake,Birthday,22.62,1,22.62,Hassan Ali,2025-07-26,Online Transfer,Processing
105,Tiramisu Cake,Birthday,12.71,5,63.55,Layla Hamdan,2025-09-13,Debit Card,Pending
106,Cheesecake,Birthday,56.38,4,225.52,Hassan Ali,2025-09-06,Credit Card,Pending
107,Cheesecake,Wedding,25.54,1,25.54,Nadine Farhat,2025-07-28,Cash,Processing
108,Fruit Cake,Anniversary,57.35,2,114.7,Karim Yousef,2025-05-30,Online Transfer,Processing
109,Carrot Cake,Regular,22.19,5,110.95,Tarek Nassif,2025-07-16,Credit Card,Delivered
110,Vanilla Cake,Birthday,23.81,4,95.24,Omar Saleh,2025-09-17,Debit Card,Processing
111,Lemon Cake,Anniversary,53.26,4,213.04,Tarek Nassif,2025-09-05,Online Transfer,Processing
112,Marble Cake,Custom,56.64,2,113.28,Layla Hamdan,2025-05-03,Online Transfer,Delivered
113,Black Forest Cake,Wedding,25.91,4,103.64,Maya Chami,2025-07-15,Cash,Pending
114,Tiramisu Cake,Birthday,35.11,5,175.55,Tarek Nassif,2025-02-21,Online Transfer,Delivered
115,Cheesecake,Custom,46.12,4,184.48,Fadi Aoun,2025-03-21,Debit Card,Cancelled
116,Lemon Cake,Regular,41.16,4,164.64,Karim Yousef,2025-02-11,Debit Card,Processing
117,Carrot Cake,Anniversary,53.62,1,53.62,Layla Hamdan,2025-02-05,Cash,Processing
118,Vanilla Cake,Birthday,58.92,1,58.92,Ahmad Khalil,2025-03-27,Debit Card,Delivered
119,Carrot Cake,Regular,24.67,3,74.01,Karim Yousef,2025-03-16,Credit Card,Pending
120,Marble Cake,Wedding,18.75,5,93.75,Maya Chami,2025-07-15,Credit Card,Pending
121,Chocolate Cake,Custom,33.06,3,99.18,Jad Sarkis,2025-05-11,Debit Card,Pending
122,Black Forest Cake,Anniversary,13.69,3,41.07,Maya Chami,2025-06-03,Debit Card,Pending
123,Black Forest Cake,Regular,59.97,4,239.88,Nour Assaf,2025-05-02,Debit Card,Cancelled
124,Marble Cake,Birthday,11.1,4,44.4,Jad Sarkis,2025-01-05,Online Transfer,Cancelled
125,Carrot Cake,Wedding,48.79,2,97.58,Rania Deeb,2025-06-30,Debit Card,Pending
126,Chocolate Cake,Regular,41.41,1,41.41,Nour Assaf,2025-08-14,Credit Card,Delivered
127,Red Velvet Cake,Wedding,55.48,3,166.44,Rami Fares,2025-08-01,Debit Card,Cancelled
128,Vanilla Cake,Anniversary,51.52,3,154.56,Fadi Aoun,2025-09-04,Cash,Processing
129,Black Forest Cake,Regular,58.14,2,116.28,Nour Assaf,2025-04-26,Cash,Processing
130,Lemon Cake,Anniversary,10.7,5,53.5,Rania Deeb,2025-08-21,Online Transfer,Cancelled
131,Marble Cake,Regular,15.42,2,30.84,Nour Assaf,2025-01-13,Credit Card,Delivered
132,Black Forest Cake,Birthday,41.77,4,167.08,Rami Fares,2025-06-04,Cash,Delivered
133,Carrot Cake,Regular,25.22,4,100.88,Rami Fares,2025-02-19,Online Transfer,Processing
134,Red Velvet Cake,Custom,28.55,5,142.75,Hassan Ali,2025-10-28,Cash,Processing
135,Carrot Cake,Custom,40.78,3,122.34,Maya Chami,2025-07-09,Credit Card,Cancelled
136,Chocolate Cake,Custom,14.97,3,44.91,Omar Saleh,2025-07-03,Credit Card,Delivered
137,Marble Cake,Birthday,57.45,4,229.8,Ahmad Khalil,2025-04-19,Debit Card,Pending
138,Fruit Cake,Wedding,59.44,5,297.2,Rania Deeb,2025-02-05,Credit Card,Pending
139,Vanilla Cake,Wedding,26.43,2,52.86,Rami Fares,2025-01-02,Debit Card,Pending
140,Lemon Cake,Wedding,15.5,1,15.5,Rania Deeb,2025-01-08,Debit Card,Delivered
141,Fruit Cake,Birthday,18.71,1,18.71,Dana Khoury,2025-08-04,Cash,Processing
142,Tiramisu Cake,Regular,32.41,3,97.23,Layla Hamdan,2025-02-25,Cash,Cancelled
143,Black Forest Cake,Custom,32.9,1,32.9,Hassan Ali,2025-09-03,Cash,Processing
144,Lemon Cake,Regular,45.62,4,182.48,Rami Fares,2025-02-11,Cash,Pending
145,Black Forest Cake,Regular,23.75,5,118.75,Tarek Nassif,2025-06-16,Debit Card,Processing
146,Fruit Cake,Wedding,35.28,4,141.12,Karim Yousef,2025-02-28,Online Transfer,Pending
147,Cheesecake,Anniversary,30.69,4,122.76,Karim Yousef,2025-08-01,Debit Card,Cancelled
148,Cheesecake,Birthday,28.72,2,57.44,Nadine Farhat,2025-08-31,Cash,Delivered
149,Fruit Cake,Birthday,31.59,3,94.77,Rania Deeb,2025-03-08,Debit Card,Delivered
150,Vanilla Cake,Regular,30.54,4,122.16,Omar Saleh,2025-01-27,Debit Card,Delivered
151,Carrot Cake,Birthday,38.9,2,77.8,Nour Assaf,2025-09-04,Debit Card,Delivered
152,Fruit Cake,Regular,48.13,5,240.65,Rania Deeb,2025-08-08,Cash,Cancelled
153,Lemon Cake,Anniversary,11.45,3,34.35,Ahmad Khalil,2025-06-08,Credit Card,Pending
154,Chocolate Cake,Birthday,38.32,4,153.28,Dana Khoury,2025-03-14,Credit Card,Processing
155,Vanilla Cake,Anniversary,30.99,3,92.97,Fadi Aoun,2025-07-09,Cash,Delivered
156,Vanilla Cake,Custom,17.78,5,88.9,Hassan Ali,2025-02-11,Online Transfer,Processing
157,Fruit Cake,Birthday,40.35,4,161.4,Nour Assaf,2025-04-21,Online Transfer,Delivered
158,Vanilla Cake,Birthday,24.16,5,120.8,Layla Hamdan,2025-09-27,Online Transfer,Delivered
159,Vanilla Cake,Anniversary,10.38,3,31.14,Nour Assaf,2025-03-12,Cash,Delivered
160,Black Forest Cake,Regular,34.87,4,139.48,Dana Khoury,2025-03-08,Credit Card,Cancelled
161,Tiramisu Cake,Birthday,13.6,1,13.6,Nadine Farhat,2025-01-10,Debit Card,Processing
162,Black Forest Cake,Birthday,38.67,4,154.68,Nour Assaf,2025-02-28,Credit Card,Processing
163,Cheesecake,Wedding,51.6,3,154.8,Karim Yousef,2025-08-12,Online Transfer,Delivered
164,Carrot Cake,Anniversary,29.79,3,89.37,Fadi Aoun,2025-06-23,Credit Card,Delivered
165,Carrot Cake,Anniversary,35.52,1,35.52,Nour Assaf,2025-09-19,Credit Card,Pending
166,Marble Cake,Wedding,15.14,3,45.42,Fadi Aoun,2025-03-30,Cash,Pending
167,Marble Cake,Custom,57.56,4,230.24,Hassan Ali,2025-10-16,Debit Card,Cancelled
168,Vanilla Cake,Anniversary,17.55,1,17.55,Rania Deeb,2025-08-15,Cash,Cancelled
169,Chocolate Cake,Birthday,35.37,3,106.11,Nour Assaf,2025-08-20,Debit Card,Delivered
170,Black Forest Cake,Custom,42.23,1,42.23,Rania Deeb,2025-09-17,Cash,Processing
171,Lemon Cake,Regular,55.45,5,277.25,Maya Chami,2025-04-07,Credit Card,Delivered
172,Fruit Cake,Wedding,32.53,3,97.59,Ahmad Khalil,2025-02-13,Credit Card,Processing
173,Lemon Cake,Anniversary,59.55,5,297.75,Jad Sarkis,2025-03-23,Debit Card,Processing
174,Lemon Cake,Birthday,30.44,3,91.32,Nour Assaf,2025-01-27,Cash,Processing
175,Lemon Cake,Birthday,24.21,5,121.05,Rania Deeb,2025-03-18,Credit Card,Cancelled
176,Vanilla Cake,Regular,25.51,4,102.04,Karim Yousef,2025-02-13,Debit Card,Pending
177,Fruit Cake,Anniversary,43.51,5,217.55,Ahmad Khalil,2025-08-05,Debit Card,Cancelled
178,Carrot Cake,Wedding,19.01,2,38.02,Rami Fares,2025-09-06,Credit Card,Delivered
179,Fruit Cake,Birthday,24.79,1,24.79,Hassan Ali,2025-10-04,Debit Card,Pending
180,Marble Cake,Wedding,39.86,2,79.72,Dana Khoury,2025-04-03,Online Transfer,Delivered
181,Tiramisu Cake,Wedding,30.54,2,61.08,Tarek Nassif,2025-05-26,Credit Card,Cancelled
182,Lemon Cake,Regular,58.28,4,233.12,Maya Chami,2025-04-10,Online Transfer,Cancelled
183,Red Velvet Cake,Wedding,48.91,5,244.55,Fadi Aoun,2025-08-03,Credit Card,Cancelled
184,Fruit Cake,Birthday,12.61,4,50.44,Dana Khoury,2025-07-10,Cash,Cancelled
185,Fruit Cake,Wedding,14.19,2,28.38,Nadine Farhat,2025-08-19,Online Transfer,Delivered
186,Lemon Cake,Birthday,57.32,2,114.64,Karim Yousef,2025-08-19,Cash,Processing
187,Lemon Cake,Wedding,35.1,2,70.2,Ahmad Khalil,2025-02-11,Debit Card,Delivered
188,Red Velvet Cake,Birthday,51.96,3,155.88,Omar Saleh,2025-03-16,Online Transfer,Pending
189,Cheesecake,Birthday,47.94,4,191.76,Omar Saleh,2025-01-03,Credit Card,Pending
190,Cheesecake,Anniversary,37.44,5,187.2,Layla Hamdan,2025-08-05,Debit Card,Delivered
191,Cheesecake,Birthday,12.39,4,49.56,Nadine Farhat,2025-08-23,Online Transfer,Delivered
192,Vanilla Cake,Custom,41.6,5,208.0,Ahmad Khalil,2025-03-15,Debit Card,Pending
193,Fruit Cake,Anniversary,38.53,2,77.06,Sara Mansour,2025-02-13,Cash,Processing
194,Lemon Cake,Anniversary,53.67,1,53.67,Dana Khoury,2025-07-18,Cash,Cancelled
195,Marble Cake,Anniversary,49.43,3,148.29,Rami Fares,2025-02-23,Cash,Cancelled
196,Tiramisu Cake,Wedding,37.3,2,74.6,Fadi Aoun,2025-08-26,Credit Card,Delivered
197,Carrot Cake,Birthday,45.8,4,183.2,Fadi Aoun,2025-05-31,Credit Card,Delivered
198,Fruit Cake,Custom,25.78,3,77.34,Omar Saleh,2025-07-23,Cash,Pending
199,Vanilla Cake,Birthday,24.31,1,24.31,Fadi Aoun,2025-06-19,Debit Card,Processing
200,Red Velvet Cake,Custom,54.47,4,217.88,Dana Khoury,2025-06-23,Online Transfer,Cancelled
201,Black Forest Cake,Birthday,56.22,5,281.1,Karim Yousef,2025-02-12,Credit Card,Cancelled
202,Vanilla Cake,Custom,26.06,1,26.06,Rania Deeb,2025-06-01,Online Transfer,Pending
203,Lemon Cake,Regular,44.49,3,133.47,Karim Yousef,2025-01-22,Debit Card,Delivered
204,Red Velvet Cake,Birthday,13.75,4,55.0,Rami Fares,2025-09-20,Online Transfer,Delivered
205,Lemon Cake,Custom,16.31,2,32.62,Rania Deeb,2025-07-07,Cash,Pending
206,Cheesecake,Regular,43.95,3,131.85,Rami Fares,2025-08-16,Debit Card,Processing
207,Chocolate Cake,Wedding,25.72,3,77.16,Maya Chami,2025-02-28,Online Transfer,Delivered
208,Carrot Cake,Regular,23.09,3,69.27,Omar Saleh,2025-08-17,Online Transfer,Pending
209,Tiramisu Cake,Birthday,16.13,1,16.13,Fadi Aoun,2025-03-30,Debit Card,Cancelled
210,Vanilla Cake,Wedding,45.48,5,227.4,Dana Khoury,2025-05-29,Credit Card,Cancelled
211,Carrot Cake,Custom,35.44,1,35.44,Ahmad Khalil,2025-03-13,Debit Card,Cancelled
212,Cheesecake,Anniversary,33.37,5,166.85,Karim Yousef,2025-02-14,Online Transfer,Processing
213,Lemon Cake,Birthday,48.46,5,242.3,Maya Chami,2025-03-06,Online Transfer,Cancelled
214,Red Velvet Cake,Wedding,16.42,5,82.1,Karim Yousef,2025-10-28,Cash,Delivered
215,Lemon Cake,Wedding,35.91,3,107.73,Nour Assaf,2025-03-24,Debit Card,Delivered
216,Vanilla Cake,Regular,22.53,5,112.65,Tarek Nassif,2025-03-06,Cash,Pending
217,Marble Cake,Regular,39.59,5,197.95,Nour Assaf,2025-03-29,Cash,Delivered
218,Marble Cake,Custom,14.06,5,70.3,Rania Deeb,2025-04-18,Cash,Processing
219,Tiramisu Cake,Wedding,54.45,5,272.25,Fadi Aoun,2025-06-04,Online Transfer,Cancelled
220,Black Forest Cake,Custom,32.68,1,32.68,Maya Chami,2025-08-14,Credit Card,Cancelled
221,Lemon Cake,Custom,40.33,3,120.99,Rami Fares,2025-06-13,Debit Card,Delivered
222,Tiramisu Cake,Wedding,25.96,4,103.84,Rami Fares,2025-05-17,Cash,Delivered
223,Carrot Cake,Wedding,24.51,4,98.04,Nadine Farhat,2025-08-03,Debit Card,Cancelled
224,Tiramisu Cake,Custom,19.49,2,38.98,Jad Sarkis,2025-09-21,Debit Card,Processing
225,Carrot Cake,Wedding,11.16,4,44.64,Rania Deeb,2025-08-23,Debit Card,Delivered
226,Vanilla Cake,Regular,12.53,4,50.12,Ahmad Khalil,2025-08-29,Cash,Processing
227,Black Forest Cake,Anniversary,16.7,3,50.1,Ahmad Khalil,2025-07-07,Online Transfer,Delivered
228,Vanilla Cake,Birthday,38.51,2,77.02,Karim Yousef,2025-10-11,Online Transfer,Cancelled
229,Red Velvet Cake,Birthday,51.27,5,256.35,Karim Yousef,2025-03-02,Debit Card,Cancelled
230,Carrot Cake,Regular,37.89,3,113.67,Tarek Nassif,2025-03-15,Online Transfer,Delivered
231,Tiramisu Cake,Regular,12.27,2,24.54,Maya Chami,2025-06-20,Credit Card,Pending
232,Black Forest Cake,Regular,26.4,5,132.0,Dana Khoury,2025-03-25,Debit Card,Cancelled
233,Marble Cake,Anniversary,35.37,5,176.85,Maya Chami,2025-09-08,Cash,Cancelled
234,Vanilla Cake,Birthday,26.56,1,26.56,Rania Deeb,2025-10-26,Online Transfer,Cancelled
235,Chocolate Cake,Regular,58.35,5,291.75,Maya Chami,2025-04-27,Credit Card,Processing
236,Cheesecake,Wedding,17.39,2,34.78,Ahmad Khalil,2025-10-21,Online Transfer,Cancelled
237,Black Forest Cake,Regular,30.94,4,123.76,Fadi Aoun,2025-04-15,Online Transfer,Delivered
238,Lemon Cake,Custom,45.29,5,226.45,Tarek Nassif,2025-10-15,Online Transfer,Cancelled
239,Fruit Cake,Anniversary,57.83,4,231.32,Hassan Ali,2025-06-25,Debit Card,Processing
240,Vanilla Cake,Wedding,19.61,2,39.22,Omar Saleh,2025-10-13,Debit Card,Pending
241,Lemon Cake,Regular,44.51,4,178.04,Jad Sarkis,2025-09-03,Debit Card,Cancelled
242,Lemon Cake,Wedding,16.09,5,80.45,Omar Saleh,2025-07-22,Cash,Cancelled
243,Vanilla Cake,Custom,57.77,1,57.77,Layla Hamdan,2025-08-15,Credit Card,Cancelled
244,Marble Cake,Regular,56.65,3,169.95,Layla Hamdan,2025-02-25,Credit Card,Delivered
245,Chocolate Cake,Birthday,43.49,5,217.45,Karim Yousef,2025-04-30,Debit Card,Processing
246,Red Velvet Cake,Custom,15.03,2,30.06,Hassan Ali,2025-10-09,Online Transfer,Processing
247,Chocolate Cake,Birthday,42.53,3,127.59,Hassan Ali,2025-05-27,Credit Card,Delivered
248,Chocolate Cake,Custom,55.66,2,111.32,Fadi Aoun,2025-04-01,Online Transfer,Pending
249,Vanilla Cake,Regular,56.83,3,170.49,Rania Deeb,2025-01-05,Cash,Cancelled
250,Red Velvet Cake,Regular,24.23,5,121.15,Maya Chami,2025-09-10,Debit Card,Pending
251,Vanilla Cake,Wedding,50.44,3,151.32,Ahmad Khalil,2025-08-23,Debit Card,Cancelled
252,Black Forest Cake,Regular,38.39,2,76.78,Nour Assaf,2025-07-27,Cash,Processing
253,Lemon Cake,Wedding,43.46,2,86.92,Ahmad Khalil,2025-09-02,Debit Card,Processing
254,Marble Cake,Regular,21.78,3,65.34,Ahmad Khalil,2025-06-04,Debit Card,Cancelled
255,Tiramisu Cake,Anniversary,44.64,1,44.64,Rami Fares,2025-03-02,Online Transfer,Cancelled
256,Carrot Cake,Wedding,44.51,3,133.53,Maya Chami,2025-04-24,Credit Card,Processing
257,Fruit Cake,Custom,47.39,5,236.95,Fadi Aoun,2025-08-01,Credit Card,Pending
258,Fruit Cake,Custom,44.02,5,220.1,Tarek Nassif,2025-02-11,Debit Card,Delivered
259,Fruit Cake,Wedding,55.86,1,55.86,Rania Deeb,2025-10-08,Credit Card,Pending
260,Carrot Cake,Regular,26.41,5,132.05,Maya Chami,2025-03-01,Cash,Processing
261,Black Forest Cake,Custom,50.43,4,201.72,Rania Deeb,2025-09-20,Cash,Processing
262,Black Forest Cake,Anniversary,43.64,3,130.92,Nadine Farhat,2025-01-12,Cash,Pending
263,Cheesecake,Regular,38.92,1,38.92,Ahmad Khalil,2025-06-26,Cash,Processing
264,Black Forest Cake,Anniversary,11.59,4,46.36,Jad Sarkis,2025-03-11,Online Transfer,Processing
265,Fruit Cake,Wedding,53.48,4,213.92,Hassan Ali,2025-02-11,Debit Card,Delivered
266,Red Velvet Cake,Wedding,18.92,5,94.6,Nadine Farhat,2025-09-28,Cash,Delivered
267,Black Forest Cake,Regular,58.92,4,235.68,Karim Yousef,2025-10-06,Credit Card,Pending
268,Cheesecake,Birthday,33.03,2,66.06,Fadi Aoun,2025-04-07,Online Transfer,Delivered
269,Tiramisu Cake,Regular,22.03,1,22.03,Hassan Ali,2025-01-18,Cash,Pending
270,Fruit Cake,Wedding,47.03,4,188.12,Fadi Aoun,2025-04-30,Cash,Pending
271,Lemon Cake,Regular,35.19,3,105.57,Rania Deeb,2025-10-22,Debit Card,Pending
272,Carrot Cake,Custom,25.09,2,50.18,Omar Saleh,2025-09-24,Debit Card,Delivered
273,Black Forest Cake,Regular,37.84,5,189.2,Maya Chami,2025-03-31,Cash,Cancelled
